24-01-2021 02:00:53.430 [main] INFO  SpringBootTestContextBootstrapper Neither @ContextConfiguration nor @ContextHierarchy found for test class [com.albo.comics.scheduler.AlboComicsSchedulerApplicationTests], using SpringBootContextLoader
24-01-2021 02:00:59.661 [main] INFO  ThreadPoolTaskExecutor Initializing ExecutorService 'applicationTaskExecutor'
24-01-2021 02:00:59.884 [main] INFO  ThreadPoolTaskScheduler Initializing ExecutorService 'taskScheduler'
24-01-2021 02:00:59.909 [main] INFO  AlboComicsSchedulerApplicationTests Started AlboComicsSchedulerApplicationTests in 6.285 seconds (JVM running for 7.051)
24-01-2021 02:01:00.231 [SpringContextShutdownHook] INFO  ThreadPoolTaskScheduler Shutting down ExecutorService 'taskScheduler'
24-01-2021 02:01:00.232 [SpringContextShutdownHook] INFO  ThreadPoolTaskExecutor Shutting down ExecutorService 'applicationTaskExecutor'
24-01-2021 02:01:00.309 [SpringContextShutdownHook] INFO  connection Closed connection [connectionId{localValue:7, serverValue:224752}] to cluster0-shard-00-01.zccxh.mongodb.net:27017 because the pool has been closed.
24-01-2021 02:01:05.547 [main] INFO  AlboComicsSchedulerApplication Starting AlboComicsSchedulerApplication using Java 11.0.9.1 on MSI with PID 13912 (C:\Users\Ing_O\eclipse-workspace\comics\alboComicsScheduler\target\classes started by Ing_O in C:\Users\Ing_O\eclipse-workspace\comics\alboComicsScheduler)
24-01-2021 02:01:05.549 [main] INFO  AlboComicsSchedulerApplication No active profile set, falling back to default profiles: default
24-01-2021 02:01:05.995 [main] INFO  RepositoryConfigurationDelegate Bootstrapping Spring Data MongoDB repositories in DEFAULT mode.
24-01-2021 02:01:06.047 [main] INFO  RepositoryConfigurationDelegate Finished Spring Data repository scanning in 38 ms. Found 1 MongoDB repository interfaces.
24-01-2021 02:01:06.516 [main] INFO  TomcatWebServer Tomcat initialized with port(s): 9191 (http)
24-01-2021 02:01:06.523 [main] INFO  Http11NioProtocol Initializing ProtocolHandler ["http-nio-9191"]
24-01-2021 02:01:06.524 [main] INFO  StandardService Starting service [Tomcat]
24-01-2021 02:01:06.524 [main] INFO  StandardEngine Starting Servlet engine: [Apache Tomcat/9.0.41]
24-01-2021 02:01:06.573 [main] INFO  [/marvel] Initializing Spring embedded WebApplicationContext
24-01-2021 02:01:06.573 [main] INFO  ServletWebServerApplicationContext Root WebApplicationContext: initialization completed in 985 ms
24-01-2021 02:01:06.688 [main] INFO  cluster Cluster created with settings {hosts=[127.0.0.1:27017], srvHost=cluster0.zccxh.mongodb.net, mode=MULTIPLE, requiredClusterType=REPLICA_SET, serverSelectionTimeout='30000 ms', requiredReplicaSetName='atlas-s3nd0f-shard-0'}
24-01-2021 02:01:06.710 [cluster-ClusterId{value='600d2942e9402c630511df7a', description='null'}-srv-cluster0.zccxh.mongodb.net] INFO  cluster Adding discovered server cluster0-shard-00-02.zccxh.mongodb.net:27017 to client view of cluster
